Τ1	Tεχνολογικά Ατυχήματα	Εκπόνηση μελετών	Kατάρτιση μελετών ασφαλείας των εγκαταστάσεων	Πρόληψη	Εγκαταστάσεις	-	-
Τ2	Tεχνολογικά Ατυχήματα	Αδειοδότηση	Αδειοδότηση των εγκαταστάσεων	Πρόληψη	Υπουργείο Ανάπτυξης, ΥΠΕΚΑ, Περιφέρειες	-	-
Τ3	Tεχνολογικά Ατυχήματα	Ενέργειες σχεδιασμού	Σχεδιασμός χρήσεων γης. Θεώρηση από τους φορείς χωροταξικού και πολεοδομικού σχεδιασμού των στόχων πρόληψης των μεγάλων τεχνολογικών ατυχημάτων και του περιορισμού των συνεπειών τους, κατά την κατάρτιση των σχεδίων χρήσεων γης και κατά τη διαδικασία έγκρισης περιβαλλοντικών όρων των εγκαταστάσεων	Πρόληψη	Αποκεντρωμένες Διοικήσεις, Περιφέρειες, ΥΠΕΚΑ	Δ/νσεις Περιβάλλοντος & Χωρικού Σχεδιασμού των Αποκεντρωμένων Διοικήσεων, Δ/νσεις Περιβάλλοντος & Χωρικού Σχεδιασμού των Περιφερειών, Δ/νσεις ΥΠΕΚΑ)	-
Τ4	Τεχνολογικά Ατυχήματα	Έλεγχοι των εγκαταστάσεων	Πραγματοποίηση επιθεωρήσεων στις εγκαταστάσεις (άνω και κάτω ορίου), με τη διενέργεια τουλάχιστον μίας επιτόπιας ετήσιας επιθεώρησης, σύνταξη έκθεσης αυτοψίας	Πρόληψη	-	-	-
Τ5	Tεχνολογικά Ατυχήματα	Πρόβλεψη και ανάλυση κινδύνου	Κατάρτιση και επικαιροποίηση καταλόγου με τις εγκαταστάσεις που διαθέτουν επικίνδυνες ουσίες. Κοινοποίηση των αλλαγών στην Γενική Γραμματεία Πολιτικής Προσασίας	Πρόληψη	Υπουργείο Ανάπτυξης, ΥΠΕΚΑ, Περιφέρειες	-	-
Τ6	Τεχνολογικά Ατυχήματα	Πρόβλεψη και ανάλυση κινδύνου	Τήρηση και επικαιροποίηση καταλόγου εγκαταστάσεων που διαθέτουν επικίνδυνες ουσίες και εντάσσονται στο πεδίο εφαρμογής της ΚΥΑ του 2007	Πρόληψη	Υπουργείο Ανάπτυξης, ΥΠΕΚΑ, Περιφέρειες	-	-
Τ7	Tεχνολογικά Ατυχήματα	Πρόβλεψη και ανάλυση κινδύνου	Ενημέρωση των αποκεντρωμένων οργώνων πολιτικής προστασίς για τις μεταβολές στον κατάλογο των εγκαταστάσεων που διαθέτουν επικίνδυνες ουσίες	Πρόληψη	Γενική Γραμματεία Πολιτικής Προστασίας	-	-
Τ8	Tεχνολογικά Ατυχήματα	Πρόβλεψη και ανάλυση κινδύνου	Καθορισμός εγκαταστάσεων ή ομάδων εγκαταστάσεων όπου η πιθανότητα ή οι συνέπειες μεγάλου ατυχήματος αυξάνονται, λόγω της θέσης και της εγγύτητας τους και των ειδών και ποσοτήτων επικίνδυνων ουσιών που διαθέτουν - Πρόβλεψη κινδύνου πολλαπλασιαστικών φαινομένων Domino	Πρόληψη	Περιφέρειες	Δ/νση Ανάπτυξης των Περιφερειών	-
Τ9	Tεχνολογικά Ατυχήματα	Πρόβλεψη και ανάλυση κινδύνου	Μέριμνα για την ανταλλαγή πληροφοριών και τη συνεργασία μεταξύ των εγκαταστάσεων που εκτίθενται σε κίνδυνο πολλαπλασιαστικού φαινομένου - Domino	Πρόληψη	Περιφέρειες	Δ/νση Ανάπτυξης των Περιφερειών	-
Τ10	Tεχνολογικά Ατυχήματα	Πρόβλεψη και ανάλυση κινδύνου	Αξιολόγηση των Μελετών Ασφαλείας σε θέματα εκτίμησης των επιπτώσεων στην υγεία των περιοίκων από ένα ενδεχόμενο ατύχημα	Πρόληψη	Υπουργείο Υγείας	-	-
Τ11	Τεχνολογικά Ατυχήματα	Κατάρτιση σχεδίων αντιμετώπισης στα επίπεδα της διοίκησης και της αυτοδιοίκησης	Κατάρτιση του Σχεδίου Αντιμετώπισης Τεχνολογικών Ατυχημάτων Μεγάλης Έκτασης (ΣΑΤΑΜΕ) των Περιφερειών	Ετοιμότητα	Περιφέρειες	Δ/νση Πολιτικής Προστασίας των Περιφερειών	Πυροσβεστικό Σώμα, Δήμοι
Τ12	Τεχνολογικά Ατυχήματα	Κατάρτιση σχεδίων αντιμετώπισης στα επίπεδα της διοίκησης και της αυτοδιοίκησης	Κατάρτιση των Σχεδίου Αντιμετώπισης Τεχνολογικών Ατυχημάτων Μεγάλης Έκταση (ΣΑΤΑΜΕ) των Αποκεντρωμένων Διοικήσεων	Ετοιμότητα	Αποκεντρωμένες Διοικήσεις	Δ/νση Πολιτικής Προστασίας των Α/Δ	Πυροσβεστικό Σώμα, Δήμοι
Τ13	Τεχνολογικά Ατυχήματα	Κατάρτιση σχεδίων αντιμετώπισης στα επίπεδα της διοίκησης και της αυτοδιοίκησης	Κατάρτιση Γενικού Σχεδίου Αντιμετώπισης Τεχνολογικών Ατυχημάτων Μεγάλης Έκτασης (ΣΑΤΑΜΕ)	Ετοιμότητα	Γενική Γραμματεία Πολιτικής Προστασίας		-
Τ14	Τεχνολογικά Ατυχήματα	Πρόβλεψη και ανάλυση κινδύνου	Ανάλυση του κινδύνου στο πλαίσιο των Σχεδίων Αντιμετώπισης Τεχνολογικών Ατυχημάτων (ΣΑΤΑΜΕ) λαμβάνοντας υπόψη τις μελέτες ασφαλείας εγκαταστάσεων άνω και κάτω του ορίου, τα εσωτερικά σχέδια έκτακτης ανάγκης και τα είδη των ουσιών που περιέχονται στις εγκαταστάσεις ή αναμένεται να παραχθούν κατά τη διάρκεια ατυχήματος	Ετοιμότητα	Περιφέρειες	-	-
Τ15	Τεχνολογικά Ατυχήματα	Πρόβλεψη και ανάλυση κινδύνου	Ανάλυση των επιπτώσεων των ατυχημάτων στους πολίτες και στο περιβάλλον, στο πλαίσιο του Σχεδίου Αντιμετώπισης Τεχνολογικών Ατυχημάτων (ΣΑΤΑΜΕ)	Ετοιμότητα	Περιφέρειες	-	-
Τ16	Τεχνολογικά Ατυχήματα	Κατάρτιση σχεδίων αντιμετώπισης στα επίπεδα της διοίκησης και της αυτοδιοίκησης	Προσδιορισμός ζωνών αποκλεισμού, προστασίας προσωπικού και δυνάμεων επεμβασης στο πλαίσιο του Σχεδίου Αντιμετώπισης Τεχνολογικών Ατυχημάτων Μεγάλης Έκτασης σε Περιφερειακό επίπεδο	Ετοιμότητα	Περιφέρειες	-	-
Τ17	Τεχνολογικά Ατυχήματα	Ενημέρωση και πληροφόρηση του κοινού	Παροχή ενημέρωσης στο κοινό και ιδιαίτερα στους κατοίκους και τις μονάδες που εξυπηρετούν το κοινό (σχολεία, νοσοκομεία κ.λπ..) για τα ληπτέα κατάλληλα μέτρα ασφαλείας και τη στάση που θα πρέπει να τηρείται σε περίπτωση τεχνολογικού ατυχήματος	Πρόληψη, Ετοιμότητα	Περιφέρειες	Δ/νση Πολιτικής Προστασίας των Περιφερειών & Περιφερειακά Συμβούλια	-
